Afghanistan,Afghani,AFN
Falkland Islands (The) [Malvinas],Falkland Islands Pound,FKP
Faroe Islands (The),Danish Krone,DKK
Fiji,Fiji Dollar,FJD
Finland,Euro,EUR
France,Euro,EUR
French Guiana,Euro,EUR
French Polynesia,CFP Franc,XPF
French Southern Territories (The),Euro,EUR
Gabon,CFA Franc BEAC,XAF
Gambia (The),Dalasi,GMD
Georgia,Lari,GEL
Germany,Euro,EUR
Ghana,Ghana Cedi,GHS
Gibraltar,Gibraltar Pound,GIP
Greece,Euro,EUR
Greenland,Danish Krone,DKK
Grenada,East Caribbean Dollar,XCD
Guadeloupe,Euro,EUR
Guam,US Dollar,USD
Guatemala,Quetzal,GTQ
Guernsey,Pound Sterling,GBP
Guinea,Guinea Franc,GNF
Guinea-Bissau,CFA Franc BCEAO,XOF
Guyana,Guyana Dollar,GYD
Haiti,Gourde,HTG
Heard Island And Mcdonald Islands,Australian Dollar,AUD
Holy See (The),Euro,EUR
Honduras,Lempira,HNL
Hong Kong,Hong Kong Dollar,HKD
Hungary,Forint,HUF
Iceland,Iceland Krona,ISK
India,Indian Rupee,INR
Indonesia,Rupiah,IDR
International Monetary Fund (Imf),SDR (Special Drawing Right),XDR
Iran (Islamic Republic Of),Iranian Rial,IRR
Iraq,Iraqi Dinar,IQD
Ireland,Euro,EUR
Isle Of Man,Pound Sterling,GBP
Israel,New Israeli Sheqel,ILS
Italy,Euro,EUR
Jamaica,Jamaican Dollar,JMD
Japan,Yen,JPY
Jersey,Pound Sterling,GBP
Jordan,Jordanian Dinar,JOD
Kazakhstan,Tenge,KZT
Kenya,Kenyan Shilling,KES
Kiribati,Australian Dollar,AUD
North Korea,North Korean Won,KPW
South Korea,Won,KRW
Kuwait,Kuwaiti Dinar,KWD
Kyrgyzstan,Som,KGS
Lao,Kip,LAK
Latvia,Euro,EUR
Lebanon,Lebanese Pound,LBP
Lesotho,Loti,LSL
Liberia,Liberian Dollar,LRD
Libya,Libyan Dinar,LYD
Liechtenstein,Swiss Franc ,CHF
Lithuania,Euro,EUR
Luxembourg,Euro,EUR
Macao,Pataca,MOP
Madagascar,Malagasy Ariary,MGA
Malawi,Kwacha,MWK
Malaysia,Malaysian Ringgit,MYR
Maldives,Rufiyaa,MVR
Mali,CFA Franc BCEAO,XOF
Malta,Euro,EUR
Marshall Islands (The),US Dollar,USD
Martinique,Euro,EUR
Mauritania,Ouguiya,MRU
Mauritius,Mauritius Rupee,MUR
Mayotte,Euro,EUR
Member Countries Of The African Development Bank Group,ADB Unit of Account,XUA
Mexico,Mexican Peso,MXN
Micronesia (Federated States Of),US Dollar,USD
Moldova,Moldovan Leu,MDL
Monaco,Euro,EUR
Mongolia,Tugrik,MNT
Montenegro,Euro,EUR
Montserrat,East Caribbean Dollar,XCD
Morocco,Moroccan Dirham,MAD
Mozambique,Mozambique Metical,MZN
Myanmar,Kyat,MMK
Namibia,Namibia Dollar,NAD
Nauru,Australian Dollar,AUD
Nepal,Nepalese Rupee,NPR
Netherlands,Euro,EUR
New Caledonia,CFP Franc,XPF
New Zealand,New Zealand Dollar,NZD
Nicaragua,Cordoba Oro,NIO
Niger (The),CFA Franc BCEAO,XOF
Nigeria,Naira,NGN
Niue,New Zealand Dollar,NZD
Norfolk Island,Australian Dollar,AUD
Northern Mariana Islands (The),US Dollar,USD
Norway,Norwegian Krone,NOK
Oman,Rial Omani,OMR
Pakistan,Pakistan Rupee,PKR
Palau,US Dollar,USD
Panama,Balboa,PAB
Papua New Guinea,Kina,PGK
Paraguay,Guarani,PYG
Peru,Nuevo Sol,PEN
Philippines (The),Philippine Peso,PHP
Pitcairn,New Zealand Dollar,NZD
Poland,Zloty,PLN
Portugal,Euro,EUR
Puerto Rico,US Dollar,USD
Qatar,Qatari Rial,QAR
Republic Of North Macedonia,Denar,MKD
Romania,Romanian Leu,RON
Russian Federation (The),Russian Ruble,RUB
Rwanda,Rwanda Franc,RWF
Réunion,Euro,EUR
Saint Barthélemy,Euro,EUR
"Saint Helena, Ascension And Tristan Da Cunha",Saint Helena Pound,SHP
Saint Kitts And Nevis,East Caribbean Dollar,XCD
Saint Lucia,East Caribbean Dollar,XCD
Saint Martin (French Part),Euro,EUR
Saint Pierre And Miquelon,Euro,EUR
Saint Vincent And The Grenadines,East Caribbean Dollar,XCD
Samoa,Tala,WST
San Marino,Euro,EUR
Sao Tome And Principe,Dobra,STN
Saudi Arabia,Saudi Riyal,SAR
Senegal,CFA Franc BCEAO,XOF
Serbia,Serbian Dinar,RSD
Seychelles,Seychelles Rupee,SCR
Sierra Leone,Leone,SLL
Singapore,Singapore Dollar,SGD
Sint Maarten (Dutch Part),Netherlands Antillean Guilder,ANG
"Sistema Unitario De Compensacion Regional De Pagos ""Sucre""",Sucre,XSU
Slovakia,Euro,EUR
Slovenia,Euro,EUR
Solomon Islands,Solomon Islands Dollar,SBD
Somalia,Somali Shilling,SOS
South Africa,Rand,ZAR
South Sudan,South Sudanese Pound,SSP
Spain,Euro,EUR
Sri Lanka,Sri Lanka Rupee,LKR
Sudan (The),Sudanese Pound,SDG
Suriname,Surinam Dollar,SRD
Svalbard And Jan Mayen,Norwegian Krone,NOK
Swaziland,Lilangeni,SZL
Sweden,Swedish Krona,SEK
Switzerland,Swiss Franc,CHF
Syrian Arab Republic,Syrian Pound,SYP
Taiwan (Province Of China),New Taiwan Dollar,TWD
Tajikistan,Somoni,TJS
"Tanzania, United Republic Of",Tanzanian Shilling,TZS
Thailand,Baht,THB
Timor-Leste,US Dollar,USD
Togo,CFA Franc BCEAO,XOF
Tokelau,New Zealand Dollar,NZD
Tonga,Pa'anga,TOP
Trinidad And Tobago,Trinidad and Tobago Dollar,TTD
Tunisia,Tunisian Dinar,TND
Turkey,Turkish Lira,TRY
Turkmenistan,Turkmenistan New Manat,TMT
Turks And Caicos Islands (The),US Dollar,USD
Tuvalu,Australian Dollar,AUD
Uganda,Uganda Shilling,UGX
Ukraine,Hryvnia,UAH
United Arab Emirates (The),UAE Dirham,AED
United Kingdom Of Great Britain And Northern Ireland (The),Pound Sterling,GBP
United States Minor Outlying Islands (The),US Dollar,USD
United States Of America (The),US Dollar,USD
Uruguay,Peso Uruguayo,UYU
Uzbekistan,Uzbekistan Sum,UZS
Vanuatu,Vatu,VUV
Venezuela (Bolivarian Republic Of),Bolivar,VEF
Vietnam,Dong,VND
Virgin Islands (British),US Dollar,USD
Virgin Islands (U.S.),US Dollar,USD
Wallis And Futuna,CFP Franc,XPF
Western Sahara,Moroccan Dirham,MAD
Yemen,Yemeni Rial,YER
Zambia,Zambian Kwacha,ZMW
Zimbabwe,Zimbabwe Dollar,ZWL
Åland Islands,Euro,EUR
